UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/11/02T19:49:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,30,37,1023.18,nan,26336,0,101,0.25,0.55,1.70,0.25,0.55,1.70,2,2,208.23,62.27,9.05,3.30,0.00,0.00,0.00,1.02,1.07,0.00,1.02,1.07,4,4,177.28,51.42,7.49,2.98,0.00,0.00,nan
2025/11/02T19:51:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,26,36,1023.15,4.63,26248,0,221,0.19,0.33,1.45,0.19,0.33,1.45,1,1,175.19,50.79,7.57,2.41,1.41,0.00,0.00,0.84,1.70,0.00,0.84,1.70,4,4,207.89,56.61,8.07,3.96,1.39,0.07,91.68
2025/11/02T19:53:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,24,35,1023.18,4.64,26248,0,341,0.09,0.18,0.18,0.09,0.18,0.18,1,1,166.84,45.09,4.18,0.21,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.08,0,0,166.27,46.56,3.22,0.08,0.00,0.00,83.52
2025/11/02T19:55:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,25,32,1023.16,4.64,26248,0,461,0.00,0.00,0.00,0.00,0.00,0.00,0,0,154.55,42.73,2.70,0.39,0.00,0.00,0.00,0.61,0.61,0.00,0.61,0.61,3,3,204.00,54.71,4.98,0.24,0.00,0.00,76.81
2025/11/02T19:57:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,25,33,1023.08,4.64,26248,0,581,0.00,0.05,0.05,0.00,0.05,0.05,0,0,169.03,47.53,2.38,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,0.19,1,1,199.21,54.88,4.39,0.25,0.00,0.00,76.49
2025/11/02T19:59:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,25,32,1023.08,4.63,26248,0,701,0.12,0.68,0.76,0.12,0.68,0.76,3,3,195.71,52.32,8.34,1.00,0.17,0.17,0.16,0.45,0.45,0.16,0.45,0.45,2,2,208.93,54.50,3.50,0.48,0.00,0.00,83.52
2025/11/02T20:01:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,27,32,1023.09,4.63,26248,0,821,0.00,0.14,0.14,0.00,0.14,0.14,1,1,182.69,49.03,3.83,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0,0,176.24,50.25,2.88,0.42,0.00,0.00,86.40
2025/11/02T20:03:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,28,31,1023.06,4.63,26248,0,941,0.04,0.41,0.59,0.04,0.41,0.59,2,2,209.52,55.00,4.38,0.79,0.25,0.25,0.00,0.41,0.41,0.00,0.41,0.41,2,2,188.34,50.47,5.03,0.66,0.00,0.00,79.84
2025/11/02T20:05:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,30,29,1023.07,4.63,26248,0,1061,0.16,0.41,0.41,0.16,0.41,0.41,2,2,181.60,51.57,3.74,0.59,0.00,0.00,0.07,0.43,0.43,0.07,0.43,0.43,2,2,201.16,54.21,5.21,0.41,0.00,0.00,76.33
2025/11/02T20:07:02z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,32,30,1023.07,4.63,26248,0,1181,0.32,0.71,1.22,0.32,0.71,1.22,3,3,231.51,68.54,7.63,2.34,0.00,0.00,0.29,0.43,0.43,0.29,0.43,0.43,2,2,219.91,59.98,3.32,0.36,0.00,0.00,75.79
2025/11/02T20:08:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,32,32,1023.05,nan,26432,0,101,0.09,0.54,0.78,0.09,0.54,0.78,2,2,185.22,52.33,6.91,1.30,0.30,0.00,0.51,0.84,0.84,0.51,0.84,0.84,3,3,239.23,69.42,6.93,0.51,0.00,0.00,nan
2025/11/02T20:10:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,31,32,1023.01,4.63,26344,0,221,0.15,0.73,1.02,0.15,0.73,1.02,3,3,192.15,58.76,6.37,0.95,0.46,0.22,0.16,0.38,0.38,0.16,0.38,0.38,2,2,227.04,62.95,4.14,0.00,0.00,0.00,75.06
2025/11/02T20:12:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,32,31,1022.97,4.63,26280,0,341,0.37,0.95,0.98,0.37,0.95,0.98,4,4,234.68,68.28,7.56,0.98,0.00,0.00,0.48,0.66,0.74,0.46,0.66,0.74,3,3,218.85,63.72,5.43,0.25,0.00,0.00,76.43
2025/11/02T20:14:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,32,32,1023.01,4.63,26280,0,461,0.02,0.58,0.75,0.02,0.58,0.75,2,2,210.11,58.32,6.63,1.14,0.21,0.00,0.37,0.97,1.14,0.37,0.97,1.14,4,4,239.64,68.05,8.27,0.81,0.25,0.00,77.25
2025/11/02T20:16:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,32,31,1023.04,4.63,26280,0,581,0.00,0.59,0.59,0.00,0.59,0.59,2,2,190.07,52.00,5.68,1.25,0.20,0.00,0.09,0.18,0.42,0.09,0.18,0.42,1,1,197.37,54.77,5.82,0.67,0.42,0.00,77.22
2025/11/02T20:18:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,32,32,1023.05,4.63,26280,0,701,0.12,0.41,0.88,0.12,0.41,0.88,2,2,189.76,55.36,7.39,0.73,0.39,0.19,0.15,0.89,0.95,0.15,0.89,0.95,4,4,216.27,60.55,5.15,0.82,0.18,0.00,76.96
2025/11/02T20:20:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.19,4.63,26280,0,821,0.36,0.50,0.88,0.36,0.50,0.88,2,2,226.97,66.00,4.47,0.55,0.38,0.17,0.31,0.80,0.80,0.31,0.80,0.80,3,3,260.08,71.73,5.95,1.47,0.00,0.00,77.79
2025/11/02T20:22:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,32,31,1023.18,4.63,26280,0,941,0.30,0.64,0.77,0.30,0.64,0.77,3,3,203.41,57.25,4.66,0.55,0.20,0.20,0.16,0.67,0.91,0.16,0.67,0.91,3,3,219.26,63.60,6.69,1.38,0.24,0.00,76.61
2025/11/02T20:24:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,32,31,1023.23,4.63,26280,0,1061,0.00,0.52,0.86,0.00,0.52,0.86,2,2,176.53,53.29,6.88,1.38,0.62,0.43,0.38,0.86,0.86,0.38,0.86,0.86,4,4,247.03,72.33,5.93,0.78,0.00,0.00,75.40
2025/11/02T20:26:43z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,33,31,1023.19,4.63,26280,0,1181,0.68,0.93,1.24,0.68,0.93,1.24,4,4,245.08,70.47,7.00,0.56,0.36,0.17,0.33,0.52,0.67,0.33,0.52,0.67,2,2,231.05,65.02,4.57,0.93,0.24,0.00,76.05
2025/11/02T20:28:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,32,1023.16,nan,26432,0,101,0.18,0.62,0.62,0.18,0.62,0.62,3,3,195.33,56.24,3.89,0.58,0.00,0.00,0.70,0.91,0.91,0.70,0.91,0.91,4,4,274.88,74.02,6.91,0.40,0.00,0.00,nan
2025/11/02T20:30:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,33,31,1023.05,4.63,26344,0,221,0.17,0.78,0.78,0.17,0.78,0.78,3,3,219.56,59.54,7.00,0.81,0.00,0.00,0.14,0.23,0.23,0.14,0.23,0.23,1,1,204.48,53.41,2.89,0.41,0.00,0.00,75.77
2025/11/02T20:32:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,34,31,1023.07,4.63,26344,0,341,0.05,0.74,0.74,0.05,0.74,0.74,3,3,206.48,59.97,4.24,0.66,0.00,0.00,0.36,0.49,0.49,0.36,0.49,0.49,2,2,243.51,67.63,2.90,0.08,0.00,0.00,75.48
2025/11/02T20:34:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,34,31,1023.11,4.63,25720,0,461,0.48,0.59,0.70,0.48,0.59,0.70,2,2,237.05,68.66,4.34,0.55,0.38,0.00,0.31,0.66,0.92,0.31,0.66,0.92,3,3,256.63,69.63,6.36,0.95,0.20,0.20,75.10
2025/11/02T20:36:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.15,4.63,26280,0,581,0.09,0.41,0.41,0.09,0.41,0.41,2,2,190.40,50.24,4.24,0.26,0.00,0.00,0.26,0.74,0.82,0.26,0.74,0.82,3,3,264.11,69.40,4.07,0.56,0.21,0.00,76.22
2025/11/02T20:38:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,31,1023.17,4.63,26280,0,701,0.27,0.93,0.93,0.27,0.93,0.93,4,4,236.03,68.98,7.15,0.53,0.00,0.00,0.35,0.47,0.47,0.35,0.47,0.47,2,2,239.45,64.47,3.38,0.04,0.00,0.00,78.44
2025/11/02T20:40:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,33,32,1023.23,4.63,26280,0,821,0.22,0.72,1.07,0.22,0.72,1.07,3,3,238.45,63.72,5.38,1.03,0.62,0.38,0.49,0.66,0.66,0.49,0.66,0.66,3,3,244.68,65.98,5.14,0.00,0.00,0.00,79.21
2025/11/02T20:42:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.19,4.63,26280,0,941,0.46,0.77,0.93,0.46,0.77,0.93,3,3,229.39,65.96,5.36,0.66,0.21,0.00,0.24,0.61,0.66,0.24,0.61,0.66,3,3,243.86,64.29,5.93,0.44,0.00,0.00,78.44
2025/11/02T20:44:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.20,4.63,25968,0,1061,0.21,0.95,0.95,0.21,0.95,0.95,4,4,212.22,63.14,5.52,1.16,0.00,0.00,0.66,1.09,1.09,0.66,1.09,1.09,5,5,275.28,73.31,4.71,1.02,0.00,0.00,77.91
2025/11/02T20:46:25z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.12,4.63,26280,0,1181,0.17,0.66,0.92,0.17,0.66,0.92,3,3,206.64,61.83,5.56,1.29,0.42,0.00,0.18,0.67,0.84,0.18,0.67,0.84,3,3,224.63,63.04,5.93,0.68,0.39,0.18,78.73
2025/11/02T20:48:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,33,1023.22,nan,26432,0,101,0.11,0.59,0.74,0.11,0.59,0.74,2,2,219.00,58.15,5.13,0.41,0.28,0.00,0.35,0.56,0.56,0.35,0.56,0.56,2,2,229.74,63.23,3.53,0.09,0.00,0.00,nan
2025/11/02T20:50:07z,48:55:19:e8:2a:a0,7.04,3.0+OPENLOG+62534 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,33,32,1023.23,4.63,26344,0,221,0.29,0.88,1.08,0.29,0.88,1.08,4,4,221.44,62.63,6.39,1.47,0.34,0.08,0.26,0.86,1.02,0.26,0.86,1.02,4,4,237.32,65.70,7.54,1.12,0.40,0.00,75.86
